Category,Precision,Recall,F1,Support
ACCOUNTANT,0.9047619047619048,0.7916666666666666,0.8444444444444444,24.0
ADVOCATE,0.4583333333333333,0.4583333333333333,0.4583333333333333,24.0
AGRICULTURE,1.0,0.15384615384615385,0.26666666666666666,13.0
APPAREL,0.375,0.3157894736842105,0.34285714285714286,19.0
ARTS,0.34782608695652173,0.38095238095238093,0.36363636363636365,21.0
BANKING,0.64,0.6956521739130435,0.6666666666666666,23.0
BPO,0.0,0.0,0.0,4.0
BUSINESS-DEVELOPMENT,0.8181818181818182,0.75,0.782608695652174,24.0
CONSTRUCTION,0.6842105263157895,0.5909090909090909,0.6341463414634146,22.0
CONSULTANT,0.4782608695652174,0.4782608695652174,0.4782608695652174,23.0
DESIGNER,0.7619047619047619,0.7619047619047619,0.7619047619047619,21.0
DIGITAL-MEDIA,0.5333333333333333,0.42105263157894735,0.47058823529411764,19.0
ENGINEERING,0.8148148148148148,0.9166666666666666,0.8627450980392157,24.0
FINANCE,0.8571428571428571,1.0,0.9230769230769231,24.0
HEALTHCARE,0.5217391304347826,0.5217391304347826,0.5217391304347826,23.0
HR,0.875,0.9545454545454546,0.9130434782608695,22.0
INFORMATION-TECHNOLOGY,0.5925925925925926,0.6666666666666666,0.6274509803921569,24.0
PUBLIC-RELATIONS,0.5384615384615384,0.6363636363636364,0.5833333333333334,22.0
SALES,0.8148148148148148,0.9565217391304348,0.88,23.0
TEACHER,0.6923076923076923,0.9,0.782608695652174,20.0
accuracy,0.6610978520286396,0.6610978520286396,0.6610978520286396,0.6610978520286396
macro avg,0.6354343037460886,0.6175435415080724,0.6082055580336879,419.0
weighted avg,0.6604253385949208,0.6610978520286396,0.6482657195705647,419.0
